Форрест Гамп|Драма, Комедия, Мелодрама|\Форрест_Гамп.png|Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни. С самого малолетства парень страдал от заболевания ног, соседские мальчишки дразнили его, но в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись.|9|1994|6|23
Список Шиндлера|Драма, Исторический|\Schindler's_List_movie.png|Фильм рассказывает реальную историю загадочного Оскара Шиндлера, члена нацистской партии, преуспевающего фабриканта, спасшего во время Второй мировой войны почти 1200 евреев.|8|1993|11|30
Неудержимые 4|Боевик|\1686070717938448247.png|Неудержимые несут потери: Барни Росс выбывает из строя, а Ли Кристмас отстранен от будущих операций. В команду набирают новых бойцов и отправляют возмещать ущерб. Но и они терпят поражение и попадают в плен. Теперь Ли Кристмас должен в одиночку пробраться в логово противника и освободить команду, попутно предотвратив глобальную катастрофу. Только так можно спасти мир и восстановить репутацию Неудержимых.|0|2023|9|22
Флэш|Фантастика, Фэнтези, Боевик|\The_Flash_(film).png|Барри Аллен использует свою суперскорость, чтобы изменить прошлое, но его попытка спасти свою семью создает мир без супергероев.|5|2023|6|14
Зеленая миля|Драма, Триллер|\Green_mile_film.png|Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.|8|1999|12|6
Побег из Шоушенка|Драма|\ShawshankRedemption.png|Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.|8|1994|9|10
Трансформеры: Восхождение Звероботов|Фантастика, Боевик, Приключение|\1459693.png|В 1994 году двое археологов, Елена и Ной, вступают в древний конфликт, связанный с максималами, предаконами и террорконами|5|2023|5|27
Джон Уик 4|Боевик, Криминал|\JohnWick4.png|Оставляя за собой горы трупов, Джон Уик продолжает скрываться от всевозможных наёмных убийц, и теперь охоту на него возглавляет молодой и честолюбивый член Правления по имени Маркиз. Два управляющих отелями «Континенталь» в Нью-Йорке и Осаке, решившие по старой дружбе помочь своенравному киллеру, уже жестоко за это поплатились, но внезапно Джон узнаёт способ выбраться из этой, казалось бы, безвыходной ситуации.|7|2023|3|13
Драйв|Криминал, Драма, Триллер|\Drive2011Poster.png|Великолепный водитель – при свете дня он выполняет каскадерские трюки на съёмочных площадках Голливуда, а по ночам ведет рискованную игру. Но один опасный контракт – и за его жизнь назначена награда. Теперь, чтобы остаться в живых и спасти свою очаровательную соседку, он должен делать то, что умеет лучше всего – виртуозно уходить от погони.|7|2011|11|3
Бойцовский клуб|Триллер, Драма, Криминал|\9.png|Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение.Проходит немного времени, и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, они основывают тайный Бойцовский клуб, который начинает пользоваться невероятной популярностью.|8|1999|9|10
Анатомия падения|Триллер, Драма, Криминал|\50473380-2476955.png|Жизнь модной писательницы Сандры Войтер переворачивается после загадочной смерти мужа. Ей предъявляют обвинение в убийстве, и вскоре судебный процесс превращается в анатомию падения семейной жизни Сандры и Самуэля.|0|2023|8|23
Гардемарины 1787. Мир|Приключение|\default.png|Крым, 1787 год. Несмотря на Манифест российской императрицы Екатерины и Кючук-Кайнарджийский мирный договор, которые навсегда соединили Крым с Россией, Европа продолжает плести интриги, пытаясь разорвать этот сакральный союз…В подковерной борьбе использованы все приемы — от бесстыдных сплетен, темных слухов и лживых статей в газетах до грязных манипуляций с незаконнорожденным сыном государыни, посланным в Европу на обучение – Алексеем Бобринским, страстным картежником и буяном. Этой слабостью ловко воспользовались международные интриганы. Разрубить узел заговора Екатерина поручает верным друзьям — гардемаринам… Вместе с отцами в бой идут и их повзрослевшие дети, Шурка и Александра.|0|2024|8|7
Матрица|Боевик, Фантастика|\Matrix-DVD.png|Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог проникнуть. Но однажды всё меняется. Томас узнаёт ужасающую правду о реальности.|9|1999|3|24
